,M1,M2,RD1,RD2,CD1,CD2,LD1,LD2,RA1,RA2,CA1,CA2,LA1,LA2,SPD1,SPD2,SPA1,SPA2,TPX1,TPX2,AM1,AM2,AD1,AD2,AT1,AT2,T1,T2,TS1,TS2,TA1,TA2,OCA1,OCAR1,OCA2,OCAR2,OLA1,OLAR1,OLA2,OLAR2,ORA1,ORAR1,ORA2,ORAR2,O1,OR1,O2,OR2,SE1,SER1,SE2,SER2
0,200,450,200,550,225,675,200,600,225,175,250,150,225,200,225,475,250,400,250,450,200,450,200,600,225,175,Normal,Normal,(no tactic),(no tactic),200,400,0,0,1,1,0,0,2,1,0,0,5,1,0,0,2,2,2,0,0,0
1,175,500,175,975,225,925,200,725,200,650,200,775,200,450,275,700,300,700,300,650,175,500,200,875,200,625,Normal,Play creatively,(no tactic),14,200,675,0,0,6,5,0,0,1,1,0,0,3,2,0,0,0,0,0,0,1,1
2,200,575,200,1925,225,1875,175,1750,275,550,225,325,225,750,250,1125,275,875,225,975,200,575,200,1850,225,550,Normal,Normal,(no tactic),(no tactic),200,1000,0,0,6,4,0,0,2,2,0,0,0,0,0,0,2,2,0,0,1,1
3,175,600,225,1025,225,1200,200,1150,300,575,275,975,250,975,250,800,300,700,250,825,175,600,225,1125,275,825,Normal,Normal,(no tactic),(no tactic),225,850,0,0,1,0,0,0,5,3,0,0,2,2,0,0,2,1,0,0,0,0
4,175,1100,150,1550,200,1475,200,1750,200,825,175,600,200,700,250,975,300,675,250,1250,175,1100,175,1600,200,700,Normal,Normal,(no tactic),(no tactic),175,1125,0,0,3,3,0,0,1,1,0,0,4,3,0,0,2,2,1,0,0,0
5,175,650,250,1300,250,975,200,950,225,875,175,975,175,800,275,675,250,800,275,850,175,650,225,1075,175,875,Normal,Play creatively,(no tactic),16,200,875,0,0,3,3,0,0,2,2,0,0,3,3,0,0,2,1,0,0,2,2
6,175,725,225,1800,200,1875,175,1750,225,550,275,450,225,650,250,950,250,950,275,925,175,725,200,1800,250,550,Normal,Normal,(no tactic),(no tactic),200,1025,0,0,6,6,0,0,3,3,0,0,1,1,0,0,0,0,0,0,1,1
7,250,600,200,1675,225,1525,225,1350,300,700,325,825,225,575,275,1000,325,775,300,700,250,600,225,1525,300,700,Normal,Normal,(no tactic),(no tactic),250,950,0,0,1,1,0,0,3,2,0,0,5,5,0,0,1,1,1,0,0,0
8,200,500,225,675,250,1100,225,725,200,375,225,350,175,425,250,575,250,350,300,575,200,500,225,825,200,375,Normal,Normal,(no tactic),(no tactic),200,575,0,0,2,1,0,0,3,3,0,0,4,3,0,0,1,1,0,0,1,1
9,200,625,250,250,250,375,250,225,250,400,300,875,275,450,275,425,275,725,250,600,200,625,250,275,275,575,Normal,Attack in the Middle,(no tactic),14,250,500,0,0,3,3,0,0,3,3,0,0,0,0,0,0,4,3,0,0,1,1
10,250,850,250,725,325,1000,275,625,175,650,200,850,200,775,300,750,275,800,225,875,250,850,275,775,200,750,Normal,Normal,(no tactic),(no tactic),250,800,0,0,0,0,0,0,5,5,0,0,1,1,0,0,4,3,0,0,1,1
11,200,950,175,1075,200,1700,175,1900,200,825,225,950,200,900,225,925,250,700,200,1175,200,950,175,1550,200,900,Normal,Normal,(no tactic),(no tactic),200,1125,0,0,6,6,0,0,3,3,0,0,1,1,0,0,0,0,0,0,1,1
12,200,825,225,1350,250,1750,200,1850,225,300,225,375,275,300,300,1300,300,1200,200,875,200,825,225,1650,250,325,Normal,Normal,(no tactic),(no tactic),225,925,0,0,4,2,0,0,4,3,0,0,2,2,0,0,0,0,0,0,1,1
13,175,625,275,1525,275,1450,175,1125,250,350,250,325,275,275,300,1325,300,1275,200,725,175,625,250,1375,250,325,Normal,Normal,(no tactic),(no tactic),225,775,0,0,5,2,0,0,3,1,0,0,0,0,0,0,2,2,0,0,1,1
14,175,650,225,650,225,1400,200,1050,250,400,225,925,225,500,275,775,250,875,225,750,175,650,225,1025,225,625,Normal,Attack in the Middle,(no tactic),21,200,775,0,0,3,3,0,0,2,2,0,0,2,1,0,0,3,3,0,0,1,1
15,200,575,125,375,175,425,225,350,225,825,225,1050,250,825,275,925,300,825,200,1225,200,575,175,375,225,900,Normal,Play creatively,(no tactic),19,200,625,0,0,5,3,0,0,3,2,0,0,0,0,0,0,1,1,1,1,2,2
16,200,750,175,1150,225,1000,275,1000,200,850,225,600,200,700,275,775,300,575,200,950,200,750,225,1050,200,725,Normal,Normal,(no tactic),(no tactic),200,850,1,0,2,2,0,0,2,2,0,0,2,1,0,0,4,3,0,0,0,0
17,175,925,250,1225,275,1200,225,1350,225,575,225,800,200,525,275,1125,300,900,200,850,175,925,250,1250,200,625,Normal,Attack in the Middle,(no tactic),21,200,925,0,0,6,6,0,0,3,2,0,0,1,1,0,0,0,0,1,0,0,0
18,175,375,150,1550,200,1725,175,1675,275,350,275,775,275,700,300,675,300,575,250,625,175,375,175,1650,275,600,Normal,Counter-attacks,(no tactic),13,200,875,0,0,2,2,0,0,1,1,0,0,4,4,0,0,3,3,1,0,0,0
19,200,225,200,575,250,725,225,550,175,325,200,250,200,325,250,575,250,425,250,675,200,225,225,625,200,300,Normal,Play creatively,(no tactic),10,200,375,1,0,0,0,2,0,1,1,1,0,2,1,2,0,1,1,1,0,1,1
20,150,850,200,1225,225,975,225,1350,200,950,225,975,250,675,275,925,300,850,275,825,150,850,225,1200,225,875,Normal,Normal,(no tactic),(no tactic),200,975,0,0,3,3,0,0,3,3,0,0,3,3,0,0,1,1,0,0,0,0
21,175,825,175,975,250,850,225,750,225,1025,200,900,200,550,275,875,275,800,200,1200,175,825,225,850,225,825,Normal,Normal,(no tactic),(no tactic),200,825,0,0,4,4,0,0,4,4,0,0,1,1,0,0,1,1,0,0,1,1
22,200,775,350,1050,325,1300,250,900,225,250,200,350,200,450,275,825,250,575,225,775,200,775,300,1075,200,350,Normal,Normal,(no tactic),(no tactic),225,725,0,0,3,1,0,0,3,2,0,0,4,2,0,0,0,0,0,0,1,1
23,200,425,225,475,275,675,250,400,150,475,150,900,175,500,250,500,275,500,300,250,200,425,250,525,150,625,Normal,Normal,(no tactic),(no tactic),200,525,0,0,3,2,0,0,4,4,0,0,0,0,1,0,3,3,0,0,1,0
24,200,725,300,625,325,1300,325,850,250,725,175,1025,175,725,275,675,250,750,275,925,200,725,325,925,200,825,Normal,Normal,(no tactic),(no tactic),250,825,0,0,2,0,0,0,3,3,0,0,4,3,0,0,1,1,0,0,2,2
25,200,650,225,1450,350,1725,425,1250,200,550,200,575,250,500,325,950,300,700,250,800,200,650,350,1475,225,550,Normal,Normal,(no tactic),(no tactic),250,900,0,0,2,2,0,0,3,3,0,0,4,3,0,0,0,0,0,0,1,1
26,200,350,175,800,200,1125,200,550,200,375,175,500,175,600,250,800,250,650,225,925,200,350,200,825,200,500,Normal,Normal,(no tactic),(no tactic),200,550,1,0,4,3,0,0,0,0,0,0,3,2,1,0,2,2,0,0,0,0
27,175,750,175,1700,250,1700,225,1975,200,800,200,750,225,750,225,1025,300,800,225,1225,175,750,225,1800,200,775,Normal,Normal,(no tactic),(no tactic),200,1100,0,0,5,5,0,0,2,2,0,0,2,1,0,0,1,0,1,0,1,1
28,200,800,175,1875,225,1525,225,1350,250,500,300,650,325,500,275,900,325,700,300,875,200,800,225,1575,300,550,Normal,Normal,(no tactic),(no tactic),250,975,0,0,3,3,0,0,3,2,0,0,2,2,0,0,2,2,1,0,0,0
29,225,900,225,2100,250,2175,250,2075,250,700,250,775,225,750,275,1000,275,775,250,1000,225,900,225,2125,250,750,Normal,Normal,(no tactic),(no tactic),225,1250,0,0,5,5,0,0,5,4,0,0,0,0,0,0,0,0,1,0,1,1
30,200,600,225,1450,275,1300,300,1075,225,525,175,625,250,575,275,775,275,550,275,700,200,600,275,1275,225,575,Normal,Normal,(no tactic),(no tactic),225,825,0,0,4,2,0,0,3,3,0,0,2,2,0,0,1,1,1,0,0,0
31,200,575,175,1425,200,1525,225,1475,175,550,225,525,250,675,275,850,300,725,275,750,200,575,200,1475,225,575,Normal,Normal,(no tactic),(no tactic),200,875,0,0,4,3,0,0,1,1,0,0,5,4,0,0,0,0,1,0,0,0
32,150,725,225,2275,225,2625,200,2475,225,575,250,550,250,425,250,1450,250,1150,250,725,150,725,225,2450,225,525,Normal,Normal,(no tactic),(no tactic),200,1225,0,0,5,5,1,0,3,2,0,0,1,1,0,0,1,0,0,0,0,0
33,175,525,200,1075,250,1250,250,900,300,650,225,625,200,600,275,975,300,900,250,475,175,525,225,1075,250,625,Normal,Attack in the Middle,(no tactic),17,225,750,0,0,2,1,0,0,2,2,0,0,4,3,0,0,2,2,0,0,2,2
34,175,775,175,1350,225,1450,200,1450,175,700,200,850,225,575,250,750,325,650,300,625,175,775,200,1425,200,700,Normal,Normal,(no tactic),(no tactic),200,975,0,0,5,5,0,0,3,3,0,0,2,2,0,0,0,0,0,0,1,1
35,200,775,225,1175,275,1550,225,1425,200,675,200,900,275,700,250,825,275,650,225,550,200,775,225,1375,225,775,Normal,Normal,(no tactic),(no tactic),225,975,0,0,4,4,0,0,1,1,0,0,3,3,0,0,2,2,1,0,1,1
36,200,725,225,1025,300,1575,250,1125,200,700,175,1250,225,775,250,700,325,800,225,925,200,725,250,1250,200,900,Normal,Normal,(no tactic),(no tactic),225,950,0,0,4,3,0,0,4,3,0,0,1,1,0,0,1,1,2,0,0,0
37,225,800,250,1825,225,2325,225,2075,250,350,225,450,225,375,275,1425,275,1025,275,1075,225,800,250,2075,225,400,Normal,Normal,(no tactic),(no tactic),225,1100,0,0,2,2,0,0,3,3,0,0,5,4,0,0,0,0,0,0,1,1
38,175,375,200,1200,225,900,225,1025,175,700,175,600,275,425,275,550,275,550,250,500,175,375,200,1050,200,575,Normal,Attack on wings,(no tactic),15,200,675,0,0,3,3,0,0,3,3,0,0,4,4,0,0,0,0,0,0,0,0
39,225,575,200,950,225,1025,175,1125,225,600,200,575,250,700,275,875,275,675,225,525,225,575,200,1025,225,625,Normal,Attack on wings,(no tactic),18,225,750,1,0,1,1,0,0,4,4,0,0,3,3,0,0,2,2,1,0,0,0
40,450,850,325,1025,450,1525,500,975,425,600,325,1050,375,700,500,725,475,675,325,700,450,850,425,1175,375,775,Normal,Normal,(no tactic),(no tactic),425,925,1,0,5,4,0,0,1,1,0,0,2,2,1,0,2,2,0,0,0,0
41,200,725,275,775,250,850,175,925,225,900,275,825,250,950,250,800,325,725,275,875,200,725,225,850,250,875,Normal,Attack on wings,(no tactic),15,225,825,0,0,4,4,0,0,5,5,0,0,1,1,0,0,0,0,0,0,0,0
42,200,450,250,675,250,1100,200,1475,225,450,225,425,300,500,300,800,325,575,275,675,200,450,225,1075,250,450,Normal,Normal,(no tactic),(no tactic),225,650,0,0,4,4,0,0,4,4,0,0,2,2,0,0,0,0,1,0,0,0
43,175,375,275,950,300,900,200,850,225,450,200,500,200,500,275,875,275,875,250,350,175,375,250,900,225,475,Normal,Normal,(no tactic),(no tactic),225,575,0,0,5,5,0,0,3,3,0,0,1,1,0,0,1,1,0,0,0,0
44,175,375,300,725,300,700,250,475,200,250,200,225,200,225,275,525,250,400,275,375,175,375,275,650,200,225,Normal,Normal,(no tactic),(no tactic),225,425,0,0,3,1,0,0,1,0,0,0,5,3,0,0,1,1,1,0,0,0
45,200,550,200,1575,200,1350,175,1675,250,500,200,300,225,500,225,650,275,525,250,300,200,550,200,1525,225,425,Normal,Normal,(no tactic),(no tactic),200,825,0,0,2,2,0,0,5,4,0,0,2,2,0,0,1,0,0,0,0,0
46,425,575,325,1175,450,1025,500,1100,400,650,350,575,400,500,475,825,500,650,325,625,425,575,425,1100,400,575,Normal,Normal,(no tactic),(no tactic),425,750,1,0,2,1,0,0,1,1,1,0,2,0,1,0,1,1,1,0,1,1
